id,name,population2010,density
11,Beijing,19612368,1167.40
12,Tianjin,12938693,1144.46
13,Hebei,71854210,382.81
14,Shanxi,35712101,228.48
15,Inner Mongolia,24706291,20.88
21,Liaoning,43746323,299.83
22,Jilin,27452815,146.54
23,Heilongjiang,38313991,84.38
31,Shanghai,23019196,3630.20
32,Jiangsu,78660941,766.66
33,Zhejiang,54426891,533.59
34,Anhui,59500468,425.91
35,Fujian,36894217,304.15
36,Jiangxi,44567797,266.87
37,Shandong,95792719,622.84
41,Henan,94029939,563.01
42,Hubei,57237727,307.89
43,Hunan,65700762,312.77
44,Guangdong,104320459,579.46
45,Guangxi,46023761,195.02
46,Hainan,8671485,255.04
50,Chongqing,28846170,350.50
51,Sichuan,80417528,165.81
52,Guizhou,34748556,197.42
53,Yunnan,45966766,116.66
54,Tibet,3002165,2.44
61,Shaanxi,37327379,181.55
62,Gansu,25575263,56.29
63,Qianghai,5626723,7.80
64,Ningxia,6301350,94.89
65,Xinjiang,21815815,13.13
81,Hongkong,7097000,6396.01
82,Macau,552300,19044.82
71,Taiwan,23162123,639.96
